well-formed targets in the exhaustive domain: 234
combinations in the full domain (clients x targets x probe outcomes x caller Worlds x start paths x redelivery): 33696
SEQUENTIAL server: profile | client | probe | start path | stamp/final (caller World 8, no redelivery) | verdict
v5mainPre4366 | proposed(floor3) | timeout | fresh | stamp=3 final=3 | BRICK
v5mainPre4366 | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | BRICK
v5mainPre4366 | proposed(floor3) | timeout | resilient | stamp=3 final=3 | BRICK
v5mainPre4366 | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | BRICK
v5mainPre4366 | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | BRICK
v5mainPre4366 | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | BRICK
v5local | current(#4327) | answered | fresh | stamp=8 final=8 | ok
v5local | current(#4327) | answered | run_created-late | stamp=8 final=8 | ok
v5local | current(#4327) | answered | resilient | stamp=8 final=8 | ok
v5local | current(#4327) | timeout | fresh | stamp=6 final=6 | ok
v5local | current(#4327) | timeout | run_created-late | stamp=6 final=6 | ok
v5local | current(#4327) | timeout | resilient | stamp=6 final=6 | ok
v5local | current(#4327) | no-channel | fresh | stamp=6 final=6 | ok
v5local | current(#4327) | no-channel | run_created-late | stamp=6 final=6 | ok
v5local | current(#4327) | no-channel | resilient | stamp=6 final=6 | ok
v5local | proposed(floor3) | answered | fresh | stamp=8 final=8 | ok
v5local | proposed(floor3) | answered | run_created-late | stamp=8 final=8 | ok
v5local | proposed(floor3) | answered | resilient | stamp=8 final=8 | ok
v5local | proposed(floor3) | timeout | fresh | stamp=3 final=3 | ok
v5local | proposed(floor3) | timeout | run_created-late | stamp=3 final=3 | ok
v5local | proposed(floor3) | timeout | resilient | stamp=3 final=3 | ok
v5local | proposed(floor3) | no-channel | fresh | stamp=3 final=3 | ok
v5local | proposed(floor3) | no-channel | run_created-late | stamp=3 final=3 | ok
v5local | proposed(floor3) | no-channel | resilient | stamp=3 final=3 | ok
RACE-COMPOSED (2 concurrent starters of the target + client run_created; caller World 8)
profile | client | probe | start path | stamp | #1044 as written: final versions reachable, verdict | all fixes: final versions, verdict
pre3 | current(#4327) | answered | fresh | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | current(#4327) | answered | run_created-late | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | current(#4327) | answered | resilient | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | current(#4327) | timeout | fresh | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | current(#4327) | timeout | run_created-late | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | current(#4327) | timeout | resilient | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | current(#4327) | no-channel | fresh | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | current(#4327) | no-channel | run_created-late | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | current(#4327) | no-channel | resilient | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
pre3 | proposed(floor3) | answered | fresh | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | proposed(floor3) | answered | run_created-late | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | proposed(floor3) | answered | resilient | stamp=2 | #1044 finals=[2] ok | fixed finals=[2] ok
pre3 | proposed(floor3) | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | proposed(floor3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | proposed(floor3) | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | proposed(floor3) | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | proposed(floor3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | proposed(floor3) | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | answered | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | answered | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | answered | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
